sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,peak_x_um,peak_y_um,peak_intensity_counts,total_power_mW
135,2026-06-25T15:38:52.403267,30.0,32.01,-587.3794839732,98.68688673013821,-335.3999900817871,-1444.7999572753906,255.0,0.0008354043720102853
136,2026-06-25T15:38:56.230184,28.0,30.01,-590.1867928501451,98.91836865688674,-335.3999900817871,-1444.7999572753906,255.0,0.0008355456387627247
137,2026-06-25T15:38:59.952281,26.0,28.01,-593.4444679247099,98.5703584132716,-335.3999900817871,-1444.7999572753906,255.0,0.0008355030727594189
138,2026-06-25T15:39:03.703382,24.0,24.01,-596.4698737190338,98.6030335832038,-335.3999900817871,-1444.7999572753906,255.0,0.0008356729827709745
139,2026-06-25T15:39:07.864488,22.0,24.01,-599.6409399094409,98.98608105722815,-644.9999809265137,-1406.0999584197998,255.0,0.0008356909666298476
140,2026-06-25T15:39:11.412420,20.0,22.01,-603.182455917995,98.67665113473777,-335.3999900817871,-1444.7999572753906,255.0,0.0008355511431456293
141,2026-06-25T15:39:15.179517,18.0,20.01,-606.6712192425621,98.67822584172245,-341.84998989105225,-1431.8999576568604,255.0,0.0008355838032300653
142,2026-06-25T15:39:19.075283,16.0,18.01,-610.0391238060547,98.72940381872468,-341.84998989105225,-1431.8999576568604,255.0,0.0008356182995369207
143,2026-06-25T15:39:23.626833,14.0,16.01,-613.4369478022563,98.87781995203113,-348.2999897003174,-1425.4499578475952,255.0,0.0008357618047770995
144,2026-06-25T15:39:27.002790,12.0,14.01,-617.1886871932657,99.02269299462205,-348.2999897003174,-1425.4499578475952,255.0,0.0008358403577222974
145,2026-06-25T15:39:28.997243,10.0,12.01,-621.2821379999514,99.34511424973607,-348.2999897003174,-1425.4499578475952,255.0,0.0008357287706970376
146,2026-06-25T15:39:30.709012,8.0,10.01,-624.6083128283499,98.90183423354756,-348.2999897003174,-1425.4499578475952,255.0,0.0008356476592177271
147,2026-06-25T15:39:32.562417,6.0,8.01,-628.4486294872477,99.04198315518443,-348.2999897003174,-1425.4499578475952,255.0,0.0008356337132407234
148,2026-06-25T15:39:34.883844,4.0,6.01,-632.472005833115,98.74239515134832,-348.2999897003174,-1425.4499578475952,255.0,0.0008356293092963394
149,2026-06-25T15:39:38.243269,2.0,4.01,-636.2359492032556,98.89081128465477,-348.2999897003174,-1425.4499578475952,255.0,0.0008357706140856398
